id,Usage,label
0,Public,0
1,Private,4
2,Public,2
3,Public,0
4,Public,4
5,Private,1
6,Private,4
7,Private,1
8,Private,0
9,Public,2
10,Private,0
11,Private,1
12,Private,2
13,Public,0
14,Public,1
15,Public,1
16,Private,0
17,Private,0
18,Private,1
19,Private,0
20,Private,3
21,Private,5
22,Public,2
23,Private,5
24,Private,1
25,Public,2
26,Public,5
27,Private,5
28,Private,5
29,Private,5
30,Private,0
31,Public,2
32,Public,4
33,Private,1
34,Private,1
35,Private,2
36,Private,7
37,Public,4
38,Private,4
39,Private,4
40,Private,7
41,Public,4
42,Private,0
43,Private,7
44,Public,5
45,Public,0
46,Private,0
47,Public,3
48,Public,5
49,Public,1
50,Private,4
51,Public,5
52,Private,0
53,Private,2
54,Private,4
55,Public,4
56,Public,4
57,Private,1
58,Private,4
59,Private,1
60,Private,5
61,Private,1
62,Private,1
63,Private,4
64,Public,2
65,Public,1
66,Public,0
67,Public,1
68,Private,4
69,Private,4
70,Private,5
71,Private,4
72,Public,5
73,Public,1
74,Private,2
75,Public,0
76,Private,1
77,Public,2
78,Private,0
79,Private,2
80,Public,5
81,Public,1
82,Private,0
83,Private,1
84,Public,0
85,Private,4
86,Public,0
87,Public,0
88,Private,2
89,Private,4
90,Private,0
91,Public,0
92,Public,0
93,Private,5
94,Private,0
95,Public,4
96,Public,4
97,Public,5
98,Private,0
99,Private,5
100,Public,0
101,Private,1
102,Private,4
103,Private,5
104,Private,0
105,Private,0
106,Private,0
107,Private,4
108,Public,2
109,Private,5
110,Private,5
111,Private,5
112,Private,5
113,Public,1
114,Private,2
115,Private,5
116,Public,4
117,Public,2
118,Private,4
119,Public,5
120,Public,4
121,Private,5
122,Public,1
123,Private,0
124,Private,1
125,Private,2
126,Private,4
127,Private,0
128,Private,0
129,Private,3
130,Public,1
131,Private,0
132,Private,0
133,Private,4
134,Public,4
135,Public,0
136,Public,5
137,Public,1
138,Public,1
139,Public,6
140,Private,3
141,Private,0
142,Private,5
143,Private,0
144,Private,0
145,Private,1
146,Private,2
147,Public,0
148,Public,1
149,Private,1
150,Private,4
151,Public,0
152,Public,1
153,Private,0
154,Public,2
155,Private,4
156,Public,4
157,Private,4
158,Public,0
159,Public,4
160,Public,4
161,Private,4
162,Public,1
163,Public,4
164,Private,5
165,Public,0
166,Private,6
167,Public,0
168,Public,1
169,Public,5
170,Public,4
171,Private,1
172,Private,4
173,Private,0
174,Private,4
175,Private,0
176,Public,0
177,Private,4
178,Private,2
179,Private,5
180,Public,0
181,Private,4
182,Private,4
183,Public,0
184,Private,0
185,Public,0
186,Private,1
187,Private,0
188,Private,0
189,Private,0
190,Private,2
191,Public,0
192,Private,5
193,Public,5
194,Public,1
195,Private,5
196,Private,5
197,Private,0
198,Private,1
199,Private,0
200,Public,1
201,Private,4
202,Private,4
203,Private,5
204,Public,0
205,Public,1
206,Private,2
207,Private,2
208,Public,5
209,Private,5
210,Public,2
211,Public,1
212,Private,1
213,Public,0
214,Public,5
215,Private,1
216,Private,5
217,Private,1
218,Public,2
219,Private,4
220,Private,1
221,Public,5
222,Private,4
223,Public,4
224,Public,0
225,Private,0
226,Public,4
227,Private,2
228,Private,0
229,Public,4
230,Private,2
231,Public,4
232,Public,0
233,Private,5
234,Private,5
235,Private,0
236,Public,1
237,Private,1
238,Private,0
239,Public,0
240,Private,0
241,Private,1
242,Private,5
243,Private,4
244,Private,0
245,Public,1
246,Private,5
247,Public,4
248,Public,1
249,Public,6
250,Public,0
251,Private,3
252,Public,4
253,Private,5
254,Public,5
255,Public,1
256,Private,5
257,Private,1
258,Private,0
259,Private,4
260,Public,1
261,Private,6
262,Private,1
263,Public,5
264,Private,7
265,Private,0
266,Public,1
267,Public,3
268,Private,1
269,Private,5
270,Public,5
271,Private,0
272,Public,5
273,Private,2
274,Private,2
275,Private,0
276,Private,0
277,Private,4
278,Private,0
279,Private,0
280,Public,0
281,Private,0
282,Private,1
283,Private,0
284,Public,0
285,Public,1
286,Private,1
287,Public,4
288,Public,1
289,Private,4
290,Private,0
291,Private,1
292,Private,3
293,Private,0
294,Private,1
295,Private,4
296,Private,0
297,Private,5
298,Public,1
299,Private,0
300,Private,2
301,Private,5
302,Private,0
303,Private,5
304,Private,1
305,Private,1
306,Private,2
307,Private,5
308,Private,5
309,Public,4
310,Public,0
311,Private,2
312,Private,4
313,Private,5
314,Private,1
315,Public,0
316,Private,7
317,Public,0
318,Public,2
319,Public,6
320,Private,5
321,Private,0
322,Private,1
323,Private,2
324,Private,5
325,Private,0
326,Private,5
327,Public,0
328,Private,5
329,Private,5
330,Public,2
331,Private,0
332,Public,1
333,Private,0
334,Public,1
335,Private,1
336,Private,1
337,Public,4
338,Public,4
339,Private,0
340,Public,4
341,Public,2
342,Private,3
343,Private,4
344,Public,1
345,Private,2
346,Private,5
347,Public,0
348,Private,2
349,Private,2
350,Private,5
351,Private,0
352,Private,0
353,Private,2
354,Public,4
355,Private,0
356,Private,1
357,Private,0
358,Private,0
359,Private,0
360,Private,0
361,Private,0
362,Private,4
363,Private,4
364,Private,0
365,Private,3
366,Private,2
367,Private,0
368,Private,2
369,Private,5
370,Private,5
371,Private,1
372,Private,4
373,Private,1
374,Public,2
375,Public,5
376,Private,1
377,Public,4
378,Private,4
379,Public,4
380,Private,5
381,Private,4
382,Public,4
383,Private,4
384,Public,0
385,Private,1
386,Private,2
387,Private,4
388,Private,2
389,Private,1
390,Private,1
391,Private,5
392,Private,0
393,Private,4
394,Private,5
395,Private,5
396,Private,4
397,Private,4
398,Private,1
399,Public,5
400,Private,1
401,Public,1
402,Private,0
403,Private,5
404,Public,5
405,Private,0
406,Private,1
407,Private,0
408,Public,0
409,Public,1
410,Private,4
411,Private,1
412,Public,0
413,Private,0
414,Private,4
415,Private,0
416,Public,2
417,Public,0
418,Private,5
419,Public,5
420,Private,1
421,Public,4
422,Private,2
423,Public,2
424,Private,5
425,Public,5
426,Private,5
427,Public,1
428,Private,4
429,Public,0
430,Public,2
431,Private,5
432,Private,4
433,Private,5
434,Private,5
435,Public,5
436,Public,1
437,Public,4
438,Private,0
439,Private,0
440,Public,0
441,Public,5
442,Private,5
443,Public,0
444,Private,4
445,Public,5
446,Private,0
447,Private,5
448,Private,4
449,Private,5
450,Private,0
451,Private,4
452,Private,0
453,Public,2
454,Private,1
455,Private,1
456,Private,1
457,Private,1
458,Private,0
459,Public,1
460,Private,0
461,Private,5
462,Public,1
463,Private,3
464,Private,1
465,Public,2
466,Public,5
467,Private,2
468,Private,5
469,Public,5
470,Private,2
471,Private,5
472,Private,1
473,Private,0
474,Private,2
475,Private,0
476,Public,4
477,Private,3
478,Public,0
479,Private,0
480,Public,4
481,Private,5
482,Private,1
483,Private,2
484,Public,1
485,Public,3
486,Public,1
487,Private,0
488,Private,4
489,Private,5
490,Private,0
491,Public,4
492,Private,5
493,Private,5
494,Public,0
495,Public,5
496,Private,5
497,Private,1
498,Private,5
499,Public,4
500,Private,5
501,Public,4
502,Private,5
503,Private,1
504,Private,1
505,Public,0
506,Private,4
507,Public,2
508,Private,0
509,Public,1
510,Private,4
511,Private,2
512,Public,1
513,Private,0
